"LogbookID";"UserID";"Timestamp";"Category";"ActionString";"Items";"IsAdminEntry";"Group"
"1463";"15589632";"2014-11-29 00:01:44";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"74 STATS-Scandinavia 1"
"25080";"15589632";"2014-11-29 01:01:13";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"74 STATS-Scandinavia 1"
"129034";"15589632";"2014-11-29 11:01:12";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"74 STATS-Scandinavia 1"
"196127";"15589632";"2014-11-29 14:01:26";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"74 STATS-Scandinavia 1"
"7844";"41793552";"2014-11-29 00:01:07";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"57559";"41793552";"2014-11-29 01:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"223882";"17060177";"2014-11-29 09:01:05";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"256264";"11950148";"2014-11-29 10:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"300138";"41793552";"2014-11-29 11:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"345456";"41793552";"2014-11-29 12:01:05";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"390725";"41793552";"2014-11-29 13:01:05";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"436428";"41793552";"2014-11-29 14:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"519822";"41793552";"2014-11-29 16:01:05";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"652489";"41793552";"2014-11-29 19:01:05";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"696603";"41793552";"2014-11-29 20:01:05";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"737156";"11950148";"2014-11-29 21:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"772298";"41793552";"2014-11-29 22:01:03";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"804072";"11950148";"2014-11-29 23:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"85 STATS-Global America"
"99715";"41921866";"2014-11-29 08:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"125080";"41921866";"2014-11-29 09:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"151015";"41921866";"2014-11-29 10:01:05";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"199982";"41921866";"2014-11-29 12:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"224372";"41921866";"2014-11-29 13:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"250855";"41921866";"2014-11-29 14:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"281706";"41921866";"2014-11-29 15:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"312025";"41921866";"2014-11-29 16:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"346311";"41921866";"2014-11-29 17:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"400842";"41921866";"2014-11-29 19:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"450987";"41921866";"2014-11-29 21:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"477520";"41921866";"2014-11-29 22:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"496644";"41921866";"2014-11-29 23:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"205 STATS-Lateinamerika 2"
"2435";"34375413";"2014-11-29 00:01:12";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"206 STATS-Lateinamerika 1"
"25692";"34375413";"2014-11-29 01:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"206 STATS-Lateinamerika 1"
"312218";"34375413";"2014-11-29 20:01:04";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"206 STATS-Lateinamerika 1"
"25870";"25147465";"2014-11-29 01:01:12";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"284 STATS-Netherlands 1"
"40614";"25147465";"2014-11-29 02:01:22";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"284 STATS-Netherlands 1"
"51464";"25147465";"2014-11-29 03:01:11";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"284 STATS-Netherlands 1"
"60004";"25147465";"2014-11-29 04:01:19";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"284 STATS-Netherlands 1"
"169994";"25147465";"2014-11-29 12:01:28";"purchase";"User:AuctionWin";"{"AuctionAmount":1,"AuctionItemName":"labels_Weapons_52"}";"0";"284 STATS-Netherlands 1"
